rank,bytes,MiB,GiB,path,object_id,git_mode,staged_change,unstaged_change,in_HEAD_at_path,in_origin_exp_fusion_w1_at_path,lfs_pointer,current_storage,provisional_class,classification_note
11,3780343,3.605216,0.003521,docs/degradation_curve_measurements.csv,69cb2f98649c396560730eba5958927e9f7e54d4,100644,False,False,True,True,False,regular Git,A,textual control-plane or compact evidence file
12,3353234,3.197893,0.003123,docs/figs/e5_c001_s3ap_phase3/original_frame_overlay_8568392.png,ecbc1ae2b9d6ec1c10da254c5275d59fd0a4e326,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
13,3353234,3.197893,0.003123,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase3_archives/base42/snapshot/docs/figs/e5_c001_s3ap_phase3/original_frame_overlay_8568392.png,ecbc1ae2b9d6ec1c10da254c5275d59fd0a4e326,100644,False,False,True,True,False,regular Git,D,archive duplicate or snapshot payload
14,3352901,3.197576,0.003123,docs/figs/e5_c001_s3ap_phase3/original_frame_overlay_8568391.png,166eb661e29d77c2e43d2f41c884290b906fa2c1,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
15,3352901,3.197576,0.003123,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase3_archives/base42/snapshot/docs/figs/e5_c001_s3ap_phase3/original_frame_overlay_8568391.png,166eb661e29d77c2e43d2f41c884290b906fa2c1,100644,False,False,True,True,False,regular Git,D,archive duplicate or snapshot payload
16,3296443,3.143733,0.003070,docs/figs/e5_c001_s3ap_fm_retri/fm_retri_8568392_nadir_like.png,358e5f8013c79b6765ad7a0434103d098bd31019,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
17,3279967,3.128020,0.003055,docs/figs/e5_c001_s3ap_fm_retri/fm_retri_8568391_nadir_like.png,1d8f5561c1c4e546746042d05224213fc2e0217e,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
18,3278351,3.126479,0.003053,docs/figs/e5_c001_s3ap_fm_retri/fm_retri_8568392_oblique_like.png,34baa682840a69cbdffbaa06c7a7ce55ae8a25bf,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
19,3274680,3.122978,0.003050,docs/figs/e5_c001_s3ap_fm_retri/fm_retri_4907199_nadir_like.png,00b55703dc15a47d580670f5005212ff6e63bdee,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
20,3273060,3.121433,0.003048,docs/figs/e5_c001_s3ap_fm_retri/fm_retri_8568391_oblique_like.png,99423b9dfbf6e905833ce4cb899af8488479a267,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
21,3259151,3.108169,0.003035,docs/figs/projection_gate2/zmulti_4906972.png,4904de9f82cc53dc5cf21bf45c0d4c2c594d0d86,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
22,3108428,2.964428,0.002895,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/review_v4/by_building/DEBY_LOD2_42364659/arm_Aprime/r1/panel.png,96321843553cf31f2d2e6b04c15fd1d2f5d5bea8,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
23,3062502,2.920630,0.002852,docs/figs/projection_gate2/zresolve_4906972.png,32a1fbebd2169211e2b705bff12d11201d551f1e,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
24,2940032,2.803833,0.002738,scripts/stage2/_sem_verify.png,cf5683f79f1da11ebc3ad9b190bf7b7352d3b275,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
25,2922649,2.787255,0.002722,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/review_v4/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/panel.png,ceadafb65d27a0fb42d85220783636a94b4b2f06,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
26,2898182,2.763922,0.002699,phases/p0-audit/docs/figs/dim_v1_classification_plan.png,6c90a45f3cacfdf6bde68ae5b056d98f4600ef17,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
27,2748900,2.621555,0.002560,docs/figs/tum_transfer/render_it7000_v2.png,1afdf33390827c726eec800955d0051c50c3f5c1,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
28,2673803,2.549937,0.002490,docs/figs/projection_gate_v2/4906982_mid.png,e9aea245ec82224a6c32e31a915cf119bff394bf,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
29,2667637,2.544057,0.002484,docs/figs/e5_c001_s3b0/hsweep/DEBY_LOD2_8568391_native_overlay.png,5bc663473dac6a3f7fc0416b8e2ae88366a780f2,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
30,2667012,2.543461,0.002484,docs/figs/e5_c001_s3b0/hsweep/DEBY_LOD2_8568392_native_overlay.png,8e59e0dd9e1b3622fd7bff60e7d7454b8731490f,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
31,2629990,2.508154,0.002449,docs/figs/e5_c001_s3ap_phase3/original_frame_overlay_4907199.png,61593bfedc007cdb3577d90cb31c7e3b7d3f9bbf,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
32,2629990,2.508154,0.002449,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase3_archives/base42/snapshot/docs/figs/e5_c001_s3ap_phase3/original_frame_overlay_4907199.png,61593bfedc007cdb3577d90cb31c7e3b7d3f9bbf,100644,False,False,True,True,False,regular Git,D,archive duplicate or snapshot payload
33,2617652,2.496387,0.002438,results/synthetic_a/3dbag_results.json,ececbff94f1c11ff776c6eced6cfc4183fca52f4,100644,False,False,True,True,False,regular Git,A,textual control-plane or compact evidence file
34,2584291,2.464572,0.002407,phases/p2-gsjso/runs/20260721_pilot_1wave/training/postprocess_failed_attempts/attempt4_1dfdcb5_aggregate_overlay_roundtrip/aggregate_attempt_001/output/pilot_1wave_loss_shares.csv,00db92b8924833de9d9377093a3226dddb5b16a6,100644,False,False,True,True,False,regular Git,A,textual control-plane or compact evidence file
35,2584291,2.464572,0.002407,phases/p2-gsjso/runs/20260722_pilot_1wave_readout/pilot_1wave_loss_shares.csv,00db92b8924833de9d9377093a3226dddb5b16a6,100644,False,False,True,True,False,regular Git,A,textual control-plane or compact evidence file
36,2537588,2.420033,0.002363,docs/figs/projection_gate2/ztest_4959460_nearnadir.png,833909e0293decea5a77e29984a773c2b16ef8de,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
37,2500258,2.384432,0.002329,docs/figs/e5_c001_s3ap_fm_retri/fm_retri_4907199_oblique_like.png,2375992d037a5e0597b699497344bda9967d8a8b,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
38,2371608,2.261742,0.002209,phases/p2-gsjso/runs/20260724_fusion_w1/coregdiag_tail_breakdown.csv,4ba8ea18f7b83fc1d6f5c154a8ba6c51906f6437,100644,False,False,True,True,False,regular Git,A,textual control-plane or compact evidence file
39,2365816,2.256218,0.002203,docs/figs/projection_gate_v2/4906982_near.png,9e8ae3403b50585daf3467694235046dcee71682,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
40,2317374,2.210020,0.002158,docs/qs_rescore_inventory.csv,e5ac5fac69b2e30b82ef86dc2b7758b191c79346,100644,False,False,True,True,False,regular Git,A,textual control-plane or compact evidence file
41,2299216,2.192703,0.002141,docs/figs/projection_gate2/zfinal_4907520.png,b9e9db66497768b2e8344f8c471def09e5a97b90,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
42,2296824,2.190422,0.002139,results/synthetic_a/scene_amsterdam_jordaan_full.png,9a72cd46ed5454c56a7aa2ab5e275e60e52346e1,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
43,2279086,2.173506,0.002123,docs/figs/projection_gate/alscheck_4907520.png,86185d2c30b8212f64fa896c02abd6357e01e870,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
44,2228227,2.125003,0.002075,docs/figs/tum_transfer/render_it7000_v0.png,150e854f0d4ddd5d17dd8c73dc5c45d6ab00ba23,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
45,2192612,2.091038,0.002042,docs/s3b0_alpha_sweep.csv,a041ffdde25a9f43d559ee7d6d24ca5f29b36505,100644,False,False,True,True,False,regular Git,A,textual control-plane or compact evidence file
46,2187665,2.086320,0.002037,docs/figs/projection_gate_v2/4906972_mid.png,6dbf01737545e8b5a6087bd4133e451565de6fe5,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
47,2154580,2.054768,0.002007,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4908178__DJI_20241217084859_0193_D.png,ee2a59f8039ea1558faf929ddfd8b0a04eb11a0c,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
48,2151735,2.052054,0.002004,docs/figs/projection_gate_v2/4959327_strong.png,8a6a916b7a61a093bb729b4bb6d1a0c20f08d9b5,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
49,2133638,2.034796,0.001987,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4907198__DJI_20241217095503_0034_D.png,9c05f3634d26e0437406945a71a6bd03323c235a,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
50,2124852,2.026417,0.001979,docs/figs/projection_gate_v2/4906985_mid.png,aacff4dbebd85522fcf18c3c9fcced0a7a98c2ff,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
51,2121453,2.023175,0.001976,phases/p2-gsjso/runs/20260722_pilot_1wave_readout/binding_audit_spatial_matrix.csv,dbfa9468b4bb59b05b7abc8f7ca15b85c484a6e1,100644,False,False,True,True,False,regular Git,A,textual control-plane or compact evidence file
52,2116158,2.018126,0.001971,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_8568391__DJI_20241217084903_0195_D.png,b0d618b28ad4fb353a4e352c021411b1b22cfbfb,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
53,2114169,2.016229,0.001969,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_8568392__DJI_20241217084903_0195_D.png,3d0241e2e14bd08b8383c8fb73edf4c3f26fb03b,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
54,2113709,2.015790,0.001969,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4908168__DJI_20241217095625_0075_D.png,a2f8d2e5c680ce944edd41a88f0e9fa4927beb81,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
55,2112363,2.014506,0.001967,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4908168__DJI_20241217095615_0070_D.png,dea7708cb4c32e343808b29cc893f623d24f9ca0,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
56,2106802,2.009203,0.001962,docs/qs_rescore_scores.csv,9ea7d154f50a41821167312eea82b6773724b9a3,100644,False,False,True,True,False,regular Git,A,textual control-plane or compact evidence file
57,2106331,2.008754,0.001962,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4907185__DJI_20241217095615_0070_D.png,18fe758e0fe2856d674810fd4fbb213a06aa9f4b,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
58,2105210,2.007685,0.001961,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_8568391__DJI_20241217084901_0194_D.png,0385cc07f0456894dae38ee706088c23c91dd9b9,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
59,2102163,2.004779,0.001958,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4907202__DJI_20241217095439_0022_D.png,00a855a3485f94f7a377cde50efc344be43770a4,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
60,2099584,2.002319,0.001955,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_8568392__DJI_20241217095439_0022_D.png,c15c2a097634dcda28b580a4c7badc5c5594a067,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
61,2099383,2.002128,0.001955,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4907198__DJI_20241217095533_0049_D.png,67551ad37d1003036486fe6621cdb69eb07eb6bd,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
62,2099028,2.001789,0.001955,results/synthetic_a/amsterdam_sample_50.city.json,ce630bcf46546ff1873d7dbae6be8c7a1c691fef,100644,False,False,True,True,False,regular Git,A,textual control-plane or compact evidence file
63,2097739,2.000560,0.001954,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4907185__DJI_20241217095533_0049_D.png,d197e742ee43db15d4f864032d1b4f585b6d11aa,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
64,2095822,1.998732,0.001952,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4908178__DJI_20241217095439_0022_D.png,e42563ed7d181e19e108ce4d282c14e73d6e6428,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
65,2087949,1.991223,0.001945,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4907184__DJI_20241217095615_0070_D.png,2f22d4c5347054e4368ff1d94e03c5b80a141ce5,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
66,2087880,1.991158,0.001944,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4907202__DJI_20241217095443_0024_D.png,f5730fc1073b0f61fe3641e6c6ef17d18fc1efd3,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
67,2087648,1.990936,0.001944,docs/figs/projection_gate_v2/4959460_near.png,d709d10e41b329dd8eba8abf4b4ea55c2b860901,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
68,2082009,1.985559,0.001939,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4908168__DJI_20241217095623_0074_D.png,bc33ce43555b6621c6eddb03d39f9511e0d06470,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
69,2074537,1.978433,0.001932,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4907199__DJI_20241217095531_0048_D.png,b6446a81fb781bdbac553c2643dd16fdecb1e797,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
70,2067777,1.971986,0.001926,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4907198__DJI_20241217095531_0048_D.png,f7b67eda7b8ebc7baa8d640902b5706273709216,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
71,2065199,1.969527,0.001923,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4907185__DJI_20241217095531_0048_D.png,dc4a91a9c876ec0dcbb1fbba2086571906ec9d58,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
72,2062445,1.966901,0.001921,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4907202__DJI_20241217095441_0023_D.png,9ce7a8944c1608ea7b5568973fbafb66e8166b47,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
73,2061020,1.965542,0.001919,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4907184__DJI_20241217095623_0074_D.png,f733ff81bebf08de03ec1027bcc79c8f7fb91e14,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
74,2057975,1.962638,0.001917,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4907199__DJI_20241217095441_0023_D.png,02210380e982266e72ea15eabacca07c9e0d9f7c,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
75,2057510,1.962194,0.001916,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_8568392__DJI_20241217095441_0023_D.png,d933df1cb9ec315a301a1151e4be217226c861bf,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
76,2057456,1.962143,0.001916,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_8568391__DJI_20241217095441_0023_D.png,25d117e8f2ea8658ab30f178eb925d0fd782ba3d,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
77,2050240,1.955261,0.001909,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4908178__DJI_20241217095441_0023_D.png,1201b16d033d746bc450f7c1f13492981138ef12,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
78,2033495,1.939292,0.001894,docs/e5_c001_s3_raycast_assignment_check.csv,a9bab9e2038eae38459026c02ac48cfb42d1d822,100644,False,False,True,True,False,regular Git,A,textual control-plane or compact evidence file
79,2018177,1.924684,0.001880,docs/figs/projection_gate2/oblchk_4906972.png,80ae31fcab60d2004f35c3462ef7c912beb78864,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
80,2016936,1.923500,0.001878,phases/p2-gsjso/runs/20260709_e5_c001_corrected_s1_recheck/logs/train_preprune_sparse.log,6ea18d4c27b73d7f785d41326c47782931e9fb39,100644,False,False,True,True,False,regular Git,D,"runtime, cache, or log"
81,2008818,1.915758,0.001871,docs/figs/projection_gate_v2/4959460_mid.png,d284e373289b8774ddd69b7c44003345574f942b,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
82,2008629,1.915578,0.001871,phases/p2-gsjso/runs/20260709_e5_c001_corrected_s1_recheck/logs/train_preprune_acmp.log,8b81d19a7a5e8c092ae4f73f1780170cb14125ba,100644,False,False,True,True,False,regular Git,D,"runtime, cache, or log"
83,2002482,1.909716,0.001865,phases/p2-gsjso/runs/20260709_e5_c001_corrected_s1_recheck/logs/train_preprune_dense.log,854eac4c8890acae179329014f148e2510269b36,100644,False,False,True,True,False,regular Git,D,"runtime, cache, or log"
84,1984555,1.892619,0.001848,docs/figs/e5_c001_s3/semantic_gate/DEBY_LOD2_4907184__DJI_20241217095617_0071_D.png,b5c9bf0fcf3f4aa55aa2bd05ace0dde0e7cad441,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
85,1977601,1.885987,0.001842,docs/figs/e5_c001_s3/8way_panels/8way_4907184.png,9d222cbd02f337718767abe17cd71f7748316049,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
86,1953316,1.862827,0.001819,docs/figs/projection_gate_v2/4906985_near.png,28d5117e9aa617ddb97ac048f61a973d2abf835e,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
87,1892602,1.804926,0.001763,docs/figs/tum_transfer/render_it1000_v0.png,68b69242e5f134cc8e4bb56fe66fc5e535816ed8,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
88,1871374,1.784681,0.001743,docs/figs/e5_c001_s3ap_fm_retri_rescore/recog_4907199_DJI_20241217095441_0023_D.png,6b2f38c5ef57417085065c229291a875c63679ab,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
89,1865397,1.778981,0.001737,phases/p2-gsjso/runs/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_mls_default.laz,41b972c03fdb34cd234c2892c69ef2d559539e8d,100644,False,False,True,True,False,regular Git,C,experiment geometry/array payload; externalize with manifest unless a tiny test fixture is justified
90,1865397,1.778981,0.001737,phases/p2-gsjso/runs/20260718_qs_cheap_refine_sweep/jobs/cell050_win2_pass1/dense_w2_1_c001_cell050_win2_pass1.laz,41b972c03fdb34cd234c2892c69ef2d559539e8d,100644,False,False,True,True,False,regular Git,C,experiment geometry/array payload; externalize with manifest unless a tiny test fixture is justified
91,1864879,1.778487,0.001737,phases/p2-gsjso/runs/20260718_qs_cheap_refine_sweep/jobs/cell025_win3_pass1/dense_w2_1_c001_cell025_win3_pass1.laz,2e71863698ba679936c142b043e4a6310865542c,100644,False,False,True,True,False,regular Git,C,experiment geometry/array payload; externalize with manifest unless a tiny test fixture is justified
92,1864760,1.778374,0.001737,phases/p2-gsjso/runs/20260718_qs_cheap_refine_sweep/jobs/cell050_win3_pass1/dense_w2_1_c001_cell050_win3_pass1.laz,9fce5f2a2c483f06ccc9548df1298f24c5401c64,100644,False,False,True,True,False,regular Git,C,experiment geometry/array payload; externalize with manifest unless a tiny test fixture is justified
93,1864749,1.778363,0.001737,phases/p2-gsjso/runs/20260718_qs_cheap_refine_sweep/jobs/cell050_win1_pass1/dense_w2_1_c001_cell050_win1_pass1.laz,36a47f8baa51d5ec68cd21068041ad3e58def172,100644,False,False,True,True,False,regular Git,C,experiment geometry/array payload; externalize with manifest unless a tiny test fixture is justified
94,1864559,1.778182,0.001737,phases/p2-gsjso/runs/20260718_qs_cheap_refine_sweep/jobs/cell100_win1_pass1/dense_w2_1_c001_cell100_win1_pass1.laz,0861c78cf820f376d6407638300cad71ae83a163,100644,False,False,True,True,False,regular Git,C,experiment geometry/array payload; externalize with manifest unless a tiny test fixture is justified
95,1864498,1.778124,0.001736,phases/p2-gsjso/runs/20260718_qs_cheap_refine_sweep/jobs/cell025_win2_pass1/dense_w2_1_c001_cell025_win2_pass1.laz,fc458cd000b3e80dc692a8be956b0580692eee23,100644,False,False,True,True,False,regular Git,C,experiment geometry/array payload; externalize with manifest unless a tiny test fixture is justified
96,1864433,1.778062,0.001736,phases/p2-gsjso/runs/20260718_qs_cheap_refine_sweep/jobs/cell025_win1_pass1/dense_w2_1_c001_cell025_win1_pass1.laz,f92a4dbb73ece85e0d499e811cb0d8e3786f48b0,100644,False,False,True,True,False,regular Git,C,experiment geometry/array payload; externalize with manifest unless a tiny test fixture is justified
97,1864279,1.777915,0.001736,docs/figs/qual_checks/4908162_qual_check.png,51aef1ab2615aef867ae8578475dfb608e1e2fc8,100644,False,False,True,True,False,regular Git,B,selected binary evidence/source candidate for Git LFS after curation
98,1864204,1.777843,0.001736,phases/p2-gsjso/runs/20260717_qs_cheap_refine_pilot/input/dense_w2_1_c001_classified.laz,c8454fbe04b1e7914fbfb0d8087a4c66f8543304,100644,False,False,True,True,False,regular Git,C,experiment geometry/array payload; externalize with manifest unless a tiny test fixture is justified
99,1862941,1.776639,0.001735,phases/p2-gsjso/runs/20260718_qs_cheap_refine_sweep/jobs/cell025_win1_pass2/dense_w2_1_c001_cell025_win1_pass2.laz,9d1e72733d2ac9c9c5112df73ceb348d813245e8,100644,False,False,True,True,False,regular Git,C,experiment geometry/array payload; externalize with manifest unless a tiny test fixture is justified
100,1862791,1.776496,0.001735,phases/p2-gsjso/runs/20260718_qs_cheap_refine_sweep/jobs/cell050_win1_pass2/dense_w2_1_c001_cell050_win1_pass2.laz,62cb2fb3a1d3e1c2440b6a9d1169a5cbb025b4ce,100644,False,False,True,True,False,regular Git,C,experiment geometry/array payload; externalize with manifest unless a tiny test fixture is justified
