building_id,source_group,source_run,display_label,source_role,seed,replicate,pair_raw,source_badge,readout,z_shift_to_reference_m,complexity_lens,size_lens,texture_lens,observation_lens,label_lens,has_lod22,val3dity_valid,status,status_reason,rf_success,rf_pointcloud_unusable,roof_planes,status_rf_roof_planes,ref_roof_planes,match_count,completeness,correctness,mean_match_iou,ref_rms_m,ref_hausdorff_m,ref_distance_samples,rf_rmse_lod22,shell_bucket,ref_rms_tail,ref_rms_tail_fence_m,setting,run_name,arm,readout_min_obs,readout_voxel_m,readout_alpha,readout_sor,readout_sor_std
DEBY_LOD2_108247349,gs_dense,base__gs_e5_C001_s1fac_w100_p050_dense_reuse,base dense reuse,gs,dense,reuse,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907202,gs_dense,base__gs_e5_C001_s1fac_w100_p050_dense_reuse,base dense reuse,gs,dense,reuse,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908168,gs_dense,base__gs_e5_C001_s1fac_w100_p050_dense_reuse,base dense reuse,gs,dense,reuse,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,high,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908178,gs_dense,base__gs_e5_C001_s1fac_w100_p050_dense_reuse,base dense reuse,gs,dense,reuse,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908179,gs_dense,base__gs_e5_C001_s1fac_w100_p050_dense_reuse,base dense reuse,gs,dense,reuse,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_60098,gs_dense,base__gs_e5_C001_s1fac_w100_p050_dense_reuse,base dense reuse,gs,dense,reuse,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,7,2,1,0.5000,1.0000,0.5010,4.6850,12.3938,784,0.878311,조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_8568391,gs_dense,base__gs_e5_C001_s1fac_w100_p050_dense_reuse,base dense reuse,gs,dense,reuse,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_8568392,gs_dense,base__gs_e5_C001_s1fac_w100_p050_dense_reuse,base dense reuse,gs,dense,reuse,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,lowtex_high,mid,복합(소형+재질),false,true,failure,roofer_skip_no_3d_geometry,True,False,0,None,1,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p050_dense_reuse,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_108247349,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_108247350,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,lowtex_mid,mid,복합(소형+가림),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_108247351,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,복합(저조도+가림),mid,복합(저조도+가림),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907184,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,high,high,not_reviewed,high,none,true,true,success,success,True,False,7,47,4,4,1.0000,0.5714,0.7431,0.5210,2.6807,1357,0.426741,조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907185,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,high,none,true,true,success,success,True,False,3,11,2,2,1.0000,0.6667,0.2641,3.8376,7.7938,645,8.993231,조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907186,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,false,true,failure,missing_lod22_geometry,True,False,0,5,2,0,0.0000,,,,,0,0.000000,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907188,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,2,2,0,0.0000,0.0000,,13.4991,28.1243,664,1.020443,무효·붕괴,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907194,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,1,2,1,0.5000,1.0000,0.5652,12.8207,28.3592,850,0.963355,무효·붕괴,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907195,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,1,12,2,1,0.5000,1.0000,0.5548,3.3744,8.0844,710,6.118511,조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907198,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,high,high,not_reviewed,mid,none,true,true,success,success,True,False,2,14,4,1,0.2500,0.5000,0.2948,5.4921,9.5884,1218,20.708055,조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907199,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907202,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908168,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,high,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908178,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908179,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_60098,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,true,false,failure,val3dity_invalid,True,False,1,9,2,1,0.5000,1.0000,0.5011,5.5547,15.0248,784,16.308996,무효·붕괴,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_8568391,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_8568392,gs_dense,base__gs_e5_C001_s1fac_w100_p005_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,lowtex_high,mid,복합(소형+재질),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w100_p005_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_108247349,gs_dense,base__gs_e5_C001_s1fac_w240_p050_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,mid,none,true,true,success,success,True,False,1,2,1,0,0.0000,0.0000,,45.0825,62.5687,402,0.361757,무효·붕괴,true,17.1294,base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_108247350,gs_dense,base__gs_e5_C001_s1fac_w240_p050_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,lowtex_mid,mid,복합(소형+가림),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_108247351,gs_dense,base__gs_e5_C001_s1fac_w240_p050_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,복합(저조도+가림),mid,복합(저조도+가림),true,false,failure,val3dity_invalid,True,False,1,1,1,0,0.0000,0.0000,,9.5447,14.2092,260,1.677685,무효·붕괴,false,17.1294,base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907184,gs_dense,base__gs_e5_C001_s1fac_w240_p050_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,high,high,not_reviewed,high,none,true,true,success,success,True,False,4,30,4,4,1.0000,1.0000,0.9261,0.3442,1.0029,1350,0.837785,조립,false,17.1294,base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907185,gs_dense,base__gs_e5_C001_s1fac_w240_p050_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,high,none,true,true,success,success,True,False,2,15,2,2,1.0000,1.0000,0.3780,3.3079,6.6475,643,0.722365,조립,false,17.1294,base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907186,gs_dense,base__gs_e5_C001_s1fac_w240_p050_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,true,false,failure,val3dity_invalid,True,False,2,8,2,1,0.5000,0.5000,0.4878,5.9121,14.1403,675,2.250668,무효·붕괴,false,17.1294,base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907188,gs_dense,base__gs_e5_C001_s1fac_w240_p050_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,2,2,1,0.5000,1.0000,0.5034,7.0897,14.8716,664,16.933580,무효·붕괴,false,17.1294,base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907194,gs_dense,base__gs_e5_C001_s1fac_w240_p050_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,1,6,2,1,0.5000,1.0000,0.5652,5.4218,12.8271,850,10.467146,조립,false,17.1294,base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907195,gs_dense,base__gs_e5_C001_s1fac_w240_p050_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,2,7,2,1,0.5000,0.5000,0.4331,4.6533,10.7345,714,1.795478,조립,false,17.1294,base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907198,gs_dense,base__gs_e5_C001_s1fac_w240_p050_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,high,high,not_reviewed,mid,none,true,true,success,success,True,False,2,19,4,2,0.5000,1.0000,0.7287,2.7074,7.2430,1437,0.679420,조립,false,17.1294,base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907199,gs_dense,base__gs_e5_C001_s1fac_w240_p050_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907202,gs_dense,base__gs_e5_C001_s1fac_w240_p050_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908168,gs_dense,base__gs_e5_C001_s1fac_w240_p050_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,high,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908178,gs_dense,base__gs_e5_C001_s1fac_w240_p050_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,17.1294,base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908179,gs_dense,base__gs_e5_C001_s1fac_w240_p050_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,mid,none,true,true,success,success,True,False,1,2,1,0,0.0000,0.0000,,45.5698,61.9402,474,0.640102,무효·붕괴,true,17.1294,base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_60098,gs_dense,base__gs_e5_C001_s1fac_w240_p050_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,true,false,failure,val3dity_invalid,True,False,1,11,2,1,0.5000,1.0000,0.5010,5.7743,16.0051,784,1.174646,무효·붕괴,false,17.1294,base,gs_e5_C001_s1fac_w240_p050_dense_r1,dense,3,0.05,0.5,on,2.0
