arm,replicate,run_name,building_id,has_lod22,ref_roof_planes,gs_roof_planes,primary_class,primary_label,rf_rmse_lod22,rmse_tail,clean,val3dity_valid,status_reason,roofer_no_points,clip_building_points,clip_zero_points
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_4907184,True,4,43,over_seg,과분할,0.951003,False,False,True,success,False,409230,False
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_4907185,True,2,14,over_seg,과분할,1.933761,False,False,True,success,False,4718,False
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_4907186,True,2,2,clean_struct,구조 일치,1.531319,False,True,True,success,False,341,False
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_4907188,True,2,3,over_seg,과분할,0.944160,False,False,False,val3dity_invalid,False,216,False
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_4907194,False,2,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,31,False
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_4907195,True,2,6,over_seg,과분할,2.616632,False,False,True,success,False,926,False
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_4907198,True,4,19,over_seg,과분할,2.593539,False,False,True,success,False,4957,False
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_4907199,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,115,False
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_4907202,True,2,5,over_seg,과분할,5.223785,False,False,True,success,False,3474,False
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_4908168,True,1,1,clean_struct,구조 일치,0.013870,False,True,True,success,False,746,False
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_4908178,True,2,1,under_seg,과병합,0.025339,False,False,False,val3dity_invalid,False,5225,False
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_4908179,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_60098,True,2,2,clean_struct,구조 일치,0.933127,False,True,True,success,False,285,False
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_8568391,True,1,1,clean_struct,구조 일치,0.007875,False,True,True,success,False,204,False
dense,r2,gs_e5_C001_dense_r2,DEBY_LOD2_8568392,True,1,1,clean_struct,구조 일치,0.015306,False,True,True,success,False,94,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_108247349,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,34,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_108247350,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,3,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_108247351,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,9,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_4907184,True,4,43,over_seg,과분할,1.154652,False,False,False,val3dity_invalid,False,414981,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_4907185,True,2,16,over_seg,과분할,5.094716,False,False,True,success,False,4540,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_4907186,True,2,4,over_seg,과분할,3.305059,False,False,True,success,False,675,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_4907188,True,2,2,clean_struct,구조 일치,0.384272,False,True,False,val3dity_invalid,False,270,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_4907194,False,2,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,29,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_4907195,True,2,6,over_seg,과분할,2.125094,False,False,True,success,False,1629,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_4907198,True,4,14,over_seg,과분할,3.834062,False,False,True,success,False,3069,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_4907199,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,824,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_4907202,True,2,1,under_seg,과병합,35.565422,True,False,False,val3dity_invalid,False,766,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_4908168,True,1,1,clean_struct,구조 일치,0.012238,False,True,True,success,False,2421,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_4908178,False,2,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,992,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_4908179,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,53,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_60098,True,2,2,clean_struct,구조 일치,15.222431,True,False,True,success,False,328,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_8568391,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,16,False
acmp,r1,gs_e5_C001_acmp_r1,DEBY_LOD2_8568392,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_108247349,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_108247350,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,14,False
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_108247351,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,52,False
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_4907184,True,4,40,over_seg,과분할,1.236249,False,False,True,success,False,414978,False
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_4907185,True,2,11,over_seg,과분할,2.282899,False,False,True,success,False,4659,False
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_4907186,True,2,2,clean_struct,구조 일치,2.357641,False,True,True,success,False,514,False
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_4907188,True,2,2,clean_struct,구조 일치,5.245536,False,True,False,val3dity_invalid,False,351,False
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_4907194,True,2,1,under_seg,과병합,7.867032,False,False,False,val3dity_invalid,False,57,False
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_4907195,True,2,5,over_seg,과분할,4.496936,False,False,True,success,False,1537,False
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_4907198,True,4,13,over_seg,과분할,8.531570,False,False,True,success,False,4036,False
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_4907199,True,1,2,over_seg,과분할,10.358346,True,False,False,val3dity_invalid,False,1474,False
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_4907202,True,2,3,over_seg,과분할,0.457761,False,False,True,success,False,2045,False
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_4908168,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_4908178,True,2,3,over_seg,과분할,15.298449,True,False,False,val3dity_invalid,False,5120,False
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_4908179,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,18,False
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_60098,True,2,3,over_seg,과분할,0.947106,False,False,True,success,False,272,False
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_8568391,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_planes,False,58,False
acmp,r2,gs_e5_C001_acmp_r2,DEBY_LOD2_8568392,False,1,0,shell,결손,,False,False,True,pointcloud_unusable_no_points,True,0,True
