building_id,source_group,source_run,display_label,source_role,seed,replicate,pair_raw,source_badge,readout,z_shift_to_reference_m,complexity_lens,size_lens,texture_lens,observation_lens,label_lens,has_lod22,val3dity_valid,status,status_reason,rf_success,rf_pointcloud_unusable,roof_planes,status_rf_roof_planes,ref_roof_planes,match_count,completeness,correctness,mean_match_iou,ref_rms_m,ref_hausdorff_m,ref_distance_samples,rf_rmse_lod22,shell_bucket,ref_rms_tail,ref_rms_tail_fence_m,setting,run_name,arm,readout_min_obs,readout_voxel_m,readout_alpha,readout_sor,readout_sor_std
DEBY_LOD2_108247349,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r1,S3-A r1,gs,2001,r1,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r1,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907184,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,high,high,not_reviewed,high,none,true,true,success,success,True,False,6,33,4,3,0.7500,0.5000,0.3304,1.9556,5.6896,1354,1.315794,조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907185,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,high,none,true,true,success,success,True,False,2,9,2,1,0.5000,0.5000,0.5065,3.9691,8.5545,643,1.120857,조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907186,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907188,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907194,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,1,2,1,0.5000,1.0000,0.5651,8.4592,19.4454,850,0.747746,무효·붕괴,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907195,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,1,7,2,1,0.5000,1.0000,0.4447,6.2446,14.1089,710,1.719102,조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907198,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,high,high,not_reviewed,mid,none,true,true,success,success,True,False,7,25,4,3,0.7500,0.4286,0.2164,3.8269,8.0350,1372,0.972133,조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907199,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,무텍스처,mid,무텍스처,true,false,failure,val3dity_invalid,True,False,1,2,1,1,1.0000,1.0000,0.9998,5.7497,11.4538,393,2.299001,무효·붕괴,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4907202,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,3,2,1,0.5000,1.0000,0.8691,1.3001,3.9704,641,0.604266,조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4908168,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,high,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4908178,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,low,none,true,true,success,success,True,False,1,1,2,1,0.5000,1.0000,0.6143,4.4598,5.3870,454,0.056575,조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_4908179,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_60098,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,4,2,0,0.0000,0.0000,,9.4395,16.2030,784,1.145180,조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_8568391,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
DEBY_LOD2_8568392,gs_s3a,base__gs_e5_C001_s3a_semantic_guided_r2,S3-A r2,gs,2001,r2,,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,lowtex_high,mid,복합(소형+재질),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,19.0457,base,gs_e5_C001_s3a_semantic_guided_r2,s3a,3,0.05,0.5,on,2.0
